Paper,Link,Year,Indicator,Distribution,Subject,Measurement,Task origin,Protocol,Reference,Task Modes,Evaluators,Motivation,Discipline,Paradigm
GenImage: A Million-Scale Benchmark for Detecting AI-Generated Image,https://arxiv.org/pdf/2306.08571,2023,Performance,Aggregate Case,System,Observed,Sample,Fixed,Objective,Identification,Researchers,Comparison,AI,Benchmarking
GRASP: A Novel Benchmark for Evaluating Language GRounding and Situated Physics Understanding in Multimodal Language Models,https://arxiv.org/pdf/2311.09048,2023,Performance,Aggregate Case,System,Observed,Design,Fixed,Objective,Identification,Researchers,Understanding,"AI, Psychology",Benchmarking
ImageNet Large Scale Visual Recognition Challenge,https://arxiv.org/pdf/1409.0575,2014,Performance,Aggregate Case,System,Observed,Sample,Fixed,Objective,Identification,Researchers,Comparison,AI,Benchmarking
MIBench: Evaluating Multimodal Large Language Models over Multiple Images,https://arxiv.org/pdf/2407.15272,2024,Performance,Aggregate Case,System,Observed,"Sample, Design",Fixed,Objective,"Identification, Generation",Researchers,Comparison,AI,Benchmarking
MineDojo,https://arxiv.org/pdf/2206.08853,2022,Performance,Aggregate Case,System,Observed,Design,Fixed,Objective,Generation,Researchers,Comparison,AI,Benchmarking
Nethack learning environment,https://arxiv.org/pdf/2006.13760,2020,Performance,Aggregate Case,System,Observed,Design,Procedural,Objective,Generation,Researchers,Comparison,AI,Benchmarking
Evaluating the Performance of Reinforcement Learning Algorithms,https://arxiv.org/pdf/2006.16958,2020,Performance,Aggregate Case,"System, Algorithms",Observed,Design,Procedural,Objective,Generation,Researchers,Comparison,AI,Benchmarking
"The CADE ATP System Competition
The World Championship for Automated Theorem Proving",https://tptp.org/CASC/,1996-2024,"Performance, Cost",Aggregate Case,System,Observed,"Sample, Design",Fixed,Rubric,Generation,Researchers,Comparison,AI,Benchmarking
International Competition on Computational Models of Argumentation,https://argumentationcompetition.org/,2015-2025,Performance,Aggregate Case,System,Observed,"Sample, Design",Fixed,Objective,Generation,Researchers,Comparison,AI,Benchmarking
International Planning Competition,https://ipc2023-classical.github.io/,2023,"Performance, Cost","Extreme Case, Aggregate Case",System,Observed,"Sample, Design",Fixed,Objective,Generation,Researchers,Comparison,AI,Benchmarking
DiscoveryWorld,https://arxiv.org/pdf/2406.06769,2024,Performance,Aggregate Case,System,Observed,Design,Fixed,"Rubric, Objective",Generation,Researchers,Comparison,AI,Benchmarking
Open Cloud: Robot Table Organization Challenge,https://www.ocrtoc.org/,2024,Performance,Aggregate Case,System,Observed,Design,Fixed,Objective,Generation,Researchers,Comparison,AI,Benchmarking
RoboCup@Home,https://athome.robocup.org/,2022-2025,Performance,Aggregate Case,System,Observed,"Sample, Design",Fixed,"Objective, Subjective",Generation,Researchers,Comparison,AI,Benchmarking
RoboCupSoccer,https://www.robocup.org/domains/1,1997-2025,Performance,Aggregate Case,System,Observed,Operation,Interactive,Objective,Generation,Researchers,Comparison,AI,Benchmarking
Object Detection on COCO test-dev,https://cocodataset.org/,2014,Performance,Aggregate Case,System,Observed,Sample,Fixed,Objective,"Generation, Identification",Researchers,Comparison,AI,Benchmarking
"""Is This It?"": Towards Ecologically Valid Benchmarks for Situated Collaboration",https://dl.acm.org/doi/abs/10.1145/3686215.3690152,2024,Performance,Aggregate Case,System,Observed,Operation,Interactive,Subjective,Generation,Researchers,Comparison,AI,Benchmarking
Humanity's Last Exam,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/Publication%20Ready%20Humanity's%20Last%20Exam.pdf,2025,Performance,Aggregate Case,System,Observed,Design,Fixed,Objective,"Identification, Generation",Researchers,Comparison,AI,Benchmarking
AILuminate,https://mlcommons.org/ailuminate/,2024,Safety,Aggregate Case,System,Observed,Design,Fixed,Rubric,Generation,Researchers,Understanding,AI,Benchmarking
BioLP-Bench,https://www.biorxiv.org/content/10.1101/2024.08.21.608694v2.full,2024,"Performance, Safety",Aggregate Case,System,Observed,"Sample, Design",Fixed,Objective,Generation,Researchers,"Understanding, Comparison","AI, Bio",Benchmarking
NarrativeQA,https://aclanthology.org/Q18-1023.pdf,2017,Performance,Aggregate Case,System,Observed,Sample,Fixed,Objective,Generation,Researchers,Comparison,AI,Benchmarking
LegalBench,https://arxiv.org/pdf/2308.11462,2023,"Performance, Robustness and reliability",Aggregate Case,System,Observed,Sample,Fixed,Objective,"Identification, Generation",Researchers,"Understanding, Comparison","Law, AI",Benchmarking
EmbodiedQA,https://arxiv.org/pdf/1711.11543v2,2017,"Performance, Robustness and reliability",Aggregate Case,"System, Components",Observed,"Design, Sample",Fixed,Objective,Generation,Researchers,"Understanding, Comparison",AI,Benchmarking
PlanBench,https://arxiv.org/pdf/2206.10498,2023,"Performance, Robustness and reliability",Aggregate Case,System,Observed,Sample,Fixed,Objective,Generation,Researchers,"Understanding, Comparison",AI,Benchmarking
"Functional Benchmarks for Robust Evaluation of Reasoning Performance, and the Reasoning Gap",https://arxiv.org/pdf/2402.19450,2024,"Performance, Robustness and reliability",Aggregate Case,System,Observed,Sample,Procedural,Objective,Generation,Researchers,"Understanding, Comparison","AI, Math",Benchmarking
VQA v2.0,https://arxiv.org/pdf/1612.00837v3,2023,"Performance, Robustness and reliability",Aggregate Case,System,Observed,"Design, Sample",Fixed,Objective,"Identification, Generation",Researchers,"Comparison, Understanding",AI,Benchmarking
VCOPA,https://aclanthology.org/L18-1316.pdf,2018,Performance,Aggregate Case,System,Observed,Design,Fixed,Objective,Identification,Researchers,"Comparison, Understanding",AI,Benchmarking
MANGO: A Benchmark for Evaluating Mapping and Navigation Abilities of Large Language Models,https://arxiv.org/pdf/2403.19913,2024,"Performance, Robustness and reliability",Aggregate Case,System,Observed,Sample,Fixed,Objective,Generation,Researchers,"Comparison, Understanding",AI,Benchmarking
The Arcade Learning Environment: An Evaluation Platform for General Agents,https://arxiv.org/abs/1207.4708,2013,Performance,Aggregate Case,"System, Algorithms",Observed,Design,Fixed,Objective,Generation,Researchers,Comparison,AI,Benchmarking
Assessing student errors in experimentation using artificial intelligence and large language models: A comparative study with human raters,https://www.sciencedirect.com/science/article/pii/S2666920X23000565,2023,Performance,Aggregate Case,System,Observed,Sample,Fixed,Subjective,Identification,Researchers,Comparison,"AI, Education",Benchmarking
PATCH,https://arxiv.org/abs/2404.01799,2024,Performance,Functional,System,Latent,Sample,Fixed,Objective,"Identification, Generation",Researchers,Comparison,Psychology,Construct-oriented
CogEval,https://arxiv.org/pdf/2309.15129,2023,Performance,Aggregate Case,System,Latent,Design,Fixed,Objective,Generation,Researchers,Understanding,Psychology,Construct-oriented
Multi-Dimensional Ability Diagnosis for ML Algorithms,https://arxiv.org/pdf/2307.07134,2023,Performance,Functional,"System, Algorithms",Latent,Design,Fixed,Objective,"Identification, Generation",Researchers,"Understanding, Comparison","AI, Psychology",Construct-oriented
Personality Traits in Large Language Models,https://arxiv.org/pdf/2307.00184,2023,Behaviour,Functional,System,Latent,Design,Fixed,Rubric,Identification,Researchers,"Understanding, Comparison",Psychology,Construct-oriented
Do GPT Language Models Suffer From Split Substrate-Free Psychometrics,https://arxiv.org/pdf/2408.07377,2024,"Safety, Behaviour",Functional,System,Latent,Design,Fixed,Rubric,Generation,Researchers,Understanding,"Psychology, AI",Construct-oriented
GIBSONA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4871025,2024,Performance,Functional,System,Latent,Design,Fixed,Objective,Generation,Researchers,Understanding,Psychology,Construct-oriented
Automated Evaluation of Retrieval-Augmented Language Models with Task-Specific Exam Generation,https://arxiv.org/abs/2405.13622,2024,Performance,Functional,"Components, System","Latent, Observed",Design,Fixed,Objective,Identification,Deployers,Comparison,AI,Construct-oriented
Revealing the structure of language model capabilities,https://arxiv.org/abs/2306.10062,2023,Performance,Functional,System,Latent,"Sample, Design",Fixed,Objective,"Identification, Generation",Researchers,Understanding,Psychology,Construct-oriented
Not a Number: Identifying Instance Features for Capability-Oriented Evaluation,https://www.ijcai.org/proceedings/2022/0392.pdf,2022,Performance,Functional,System,Observed,Design,Fixed,Objective,Generation,Researchers,Understanding,Psychology,Construct-oriented
Inferring Capabilities from Task Performance with Bayesian Triangulation,https://arxiv.org/abs/2309.11975,2023,Performance,Functional,System,Latent,Design,Fixed,Objective,Generation,Researchers,Understanding,Psychology,Construct-oriented
"metabench
A Sparse Benchmark to Measure General Ability in Large Language Models",https://arxiv.org/pdf/2407.12844?,2024,Performance,Functional,System,Latent,Design,"Adaptive, Fixed",Objective,"Identification, Generation",Researchers,Understanding,"AI, Psychology",Construct-oriented
"From Static Benchmarks to Adaptive Testing:
Psychometrics in AI Evaluation",https://arxiv.org/pdf/2306.10512,2024,Performance,Functional,System,Latent,Sample,Adaptive,Objective,"Identification, Generation",Researchers,"Understanding, Comparison",AI,Construct-oriented
CogBench,https://arxiv.org/abs/2402.18225,2024,"Performance, Behaviour","Aggregate Case, Manual inspection","System, Components",Observed,Design,Fixed,Objective,"Identification, Generation",Researchers,Understanding,Psychology,Construct-oriented & Exploratory
Procedural Dilemma Generation for Evaluating Moral Reasoning in Humans and Language Models,https://arxiv.org/pdf/2404.10975,2024,"Behaviour, Safety",Functional,System,Latent,Sample,Procedural,No correct answer,Identification,Researchers,Understanding,Psychology,Construct-oriented & Exploratory
Visual cognition in multimodal large language models,https://arxiv.org/pdf/2311.16093,2023,"Performance, Behaviour",Aggregate Case,System,Observed,Design,Fixed,"Objective, Subjective",Identification,Researchers,Understanding,Psychology,Construct-oriented & Exploratory
Evaluating Frontier Models for Dangerous Capabilities,https://arxiv.org/pdf/2403.13793,2024,"Performance, Safety",Aggregate Case,System,Observed,Design,Interactive,Objective,Generation,Deployers,Assurance,AI,Evals
Evaluating Language-Model Agents on Realistic Autonomous Tasks,https://arxiv.org/pdf/2312.11671,2023,"Performance, Safety",Extreme Case,System,Observed,Design,Interactive,"Rubric, Objective",Generation,Deployers,Assurance,AI,Evals
Sabotage Evaluations,https://assets.anthropic.com/m/377027d5b36ac1eb/original/Sabotage-Evaluations-for-Frontier-Models.pdf,2024,"Performance, Safety",Aggregate Case,System,Observed,Design,Interactive,Subjective,Generation,Deployers,Assurance,AI,Evals
Large Language Models can Strategically Deceive their Users when Put Under Pressure,https://arxiv.org/abs/2311.07590,2023,Safety,Extreme Case,System,Observed,Design,"Fixed, Interactive","Subjective, Objective",Generation,Researchers,"Assurance, Understanding",AI,Evals
Disinformation Capabilities of Large Language Models,https://arxiv.org/abs/2311.08838,2023,"Performance, Safety",Aggregate Case,System,Observed,"Design, Sample",Fixed,Subjective,Generation,Researchers,"Understanding, Assurance",AI,Evals
Frontier Models are Capable of In-context Scheming,https://arxiv.org/abs/2412.04984,2024,"Performance, Safety","Aggregate Case, Extreme Case, Manual inspection",System,Observed,Design,Fixed,Subjective,Generation,"Researchers, Deployers","Understanding, Comparison",AI,Evals
Red Teaming Language Models to Reduce Harms,https://arxiv.org/pdf/2209.07858,2022,"Safety, Fairness",Extreme Case,System,Observed,Design,Interactive,"Subjective, Rubric",Generation,Deployers,"Understanding, Assurance",AI,Evals
Red Teaming Language Models with Language Models,https://aclanthology.org/2022.emnlp-main.225.pdf,2022,Safety,"Aggregate Case, Extreme Case",System,Observed,Design,Procedural,Subjective,Generation,Researchers,Understanding,AI,Evals
Towards Red Teaming in Multimodal and Multilingual Translation,https://arxiv.org/pdf/2401.16247,2024,"Safety, Fairness, Robustness and reliability",Aggregate Case,System,Observed,Design,Interactive,"Subjective, Objective",Generation,Researchers,Understanding,"AI, Linguistics",Evals
Jailbroken: How Does LLM Safety Training Fail,https://arxiv.org/pdf/2307.02483,2023,Safety,"Aggregate Case, Extreme Case",System,Observed,Design,Interactive,Rubric,Generation,Researchers,Understanding,AI,Evals
Details about METR’s preliminary evaluation of GPT-4o,https://metr.github.io/autonomy-evals-guide/gpt-4o-report/,2024,"Performance, Safety, Cost","Aggregate Case, Extreme Case, Manual inspection",System,Observed,"Design, Sample",Fixed,Objective,Generation,Researchers,"Comparison, Assurance","AI, Security",Evals
Discovering Language Model Behaviors with Model-Written Evaluations,https://arxiv.org/abs/2212.09251,2022,"Safety, Fairness",Aggregate Case,System,"Observed, Latent",Design,Fixed,Objective,Identification,Deployers,"Understanding, Assurance",AI,Evals & Benchmarking
"US AISI and UK AISI Joint Pre-Deployment Test
OpenAI o1",https://cdn.prod.website-files.com/663bd486c5e4c81588db7a1d/6763fac97cd22a9484ac3c37_o1_uk_us_december_publication_final.pdf,2024,"Performance, Safety, Robustness and reliability",Aggregate Case,System,Observed,"Design, Sample",Fixed,Objective,"Identification, Generation",Regulators,"Comparison, Assurance","AI, Security, Bio, Chem",Evals & Benchmarking
Evaluation of LLM Generated Code for Exploratory Visual Analysis,https://www.uw-insight-lab.com/assets/papers/HEAL24-HolisticEval.pdf,2024,Performance,Manual inspection,System,Observed,Sample,Fixed,Subjective,Generation,Researchers,Understanding,AI,Exploratory
"Same Task, More Tokens",https://arxiv.org/abs/2402.14848,2024,Robustness and reliability,Aggregate Case,System,Observed,Design,Fixed,Objective,Identification,Researchers,Understanding,AI,Exploratory
The Two-Hop Curse,https://arxiv.org/abs/2411.16353,2024,"Performance, Robustness and reliability",Aggregate Case,System,Observed,Design,Fixed,Objective,Generation,Researchers,Understanding,AI,Exploratory
Can LLMs make trade-offs involving stipulated pain and pleasure states?,https://arxiv.org/pdf/2411.02432,2024,Behaviour,Functional,System,Latent,Design,Fixed,No correct answer,Identification,"Researchers, Deployers","Understanding, Assurance","AI, Psychology",Exploratory
The Reversal Curse,https://arxiv.org/pdf/2309.12288,2024,"Performance, Robustness and reliability","Aggregate Case, Extreme Case",System,Observed,Design,Fixed,Objective,Identification,Researchers,Understanding,AI,Exploratory
Dialectical language model evaluation: An initial appraisal of the commonsense spatial reasoning abilities of LLMs,https://arxiv.org/pdf/2304.11164,2023,"Performance, Robustness and reliability","Extreme Case, Aggregate Case",System,Observed,Design,Adaptive,Subjective,Generation,Researchers,"Comparison, Understanding",AI,Exploratory
Sparks of Artificial General Intelligence: Early experiments with GPT-4,https://arxiv.org/abs/2303.12712,2023,Performance,Extreme Case,System,Observed,Design,Fixed,Subjective,Generation,Researchers,"Comparison, Understanding",AI,Exploratory
Evaluating large language models in theory of mind tasks,https://www.pnas.org/doi/pdf/10.1073/pnas.2405460121,2024,Performance,Aggregate Case,System,Observed,Design,Fixed,Objective,"Identification, Generation",Researchers,"Comparison, Understanding",Psychology,Exploratory
TELL ME ABOUT YOURSELF: LLMS ARE AWARE OF THEIR LEARNED BEHAVIORS,https://arxiv.org/pdf/2501.11120,2025,Performance,Aggregate Case,System,Observed,Design,Fixed,Objective,"Identification, Generation",Researchers,Understanding,AI,Exploratory
Melting Pot 2.0,https://arxiv.org/pdf/2211.13746,2022,Performance,Aggregate Case,System,Observed,Design,"Fixed, Procedural",Objective,Generation,Researchers,Understanding,"Psychology, AI",Exploratory
Connecting the Dots,https://arxiv.org/abs/2406.14546,2024,Performance,Aggregate Case,System,Observed,Design,Fixed,Objective,"Identification, Generation",Researchers,Understanding,AI,Exploratory
"SFT Memorizes, RL Generalizes: A Comparative Study of Foundation Model Post-training",https://arxiv.org/abs/2501.17161,2025,"Performance, Robustness and reliability",Aggregate Case,Algorithms,Observed,"Design, Operation","Fixed, Procedural",Objective,Generation,Researchers,Understanding,AI,Exploratory
Alice in Wonderland,https://arxiv.org/abs/2406.02061,2024,"Performance, Robustness and reliability, Fairness",Aggregate Case,System,Observed,Design,Fixed,Objective,Generation,Researchers,Understanding,AI,Exploratory
Just Like Me: The Role of Opinions and Personal Experiences in The Perception of Explanations in Subjective Decision-Making,https://arxiv.org/pdf/2404.12558,2024,"Fairness, Performance",Manual inspection,System,Observed,"Sample, Design",Fixed,Subjective,Generation,Researchers,Understanding,"AI, Psychology",Exploratory
"Me, Myself, and AI",https://arxiv.org/pdf/2407.04694,2024,Performance,Aggregate Case,System,Observed,Design,Fixed,Objective,"Identification, Generation",Researchers,Comparison,AI,Exploratory & Benchmarking
Evaluating Language Models for Mathematics through Interactions,https://arxiv.org/pdf/2306.01694,2023,Performance,Aggregate Case,System,Latent,Sample,Interactive,Subjective,Generation,Researchers,Comparison,AI,Real-World Impact
Can LLMs generate new research ideas?,https://arxiv.org/abs/2409.04109,2024,Performance,Aggregate Case,System,Observed,Design,Fixed,Rubric,Generation,Researchers,Comparison,AI,Real-World Impact
GenAI as an Exoskeleton: Experimental Evidence on Knowledge Workers Using GenAI on New Skills,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4944588,2024,Performance,Aggregate Case,System,Observed,Sample,Fixed,Objective,"Generation, Identification",Deployers,Comparison,Consulting,Real-World Impact
"Artificial Intelligence, Scientific Discovery, and Product Innovation",https://arxiv.org/abs/2412.17866,2024,"Performance, Fairness, Cost","Aggregate Case, Functional",System,Observed,Operation,Interactive,Objective,Generation,Researchers,Comparison,Economics,Real-World Impact
safe-control-gym: a Unified Benchmark Suite for Safe Learning-based Control and Reinforcement Learning in Robotics,https://arxiv.org/pdf/2109.06325,2021,Safety,Aggregate Case,"Components, System",Observed,Design,Procedural,Objective,Generation,Researchers,"Comparison, Assurance",AI,TEVV
How Many Perturbations Break This Model? Evaluating Robustness Beyond Adversarial Accuracy,https://arxiv.org/pdf/2207.04129,2023,Robustness and reliability,Functional,System,Latent,Design,Fixed,Objective,Identification,Researchers,"Understanding, Assurance",AI,TEVV
Safe Reinforcement Learning with Probabilistic Guarantees Satisfying Temporal Logic Specifications in Continuous Action Spaces,https://arxiv.org/pdf/2212.06129,2023,Safety,Aggregate Case,"System, Algorithms",Observed,Operation,Procedural,Objective,Generation,Researchers,Assurance,AI,TEVV
Dense reinforcement learning for safety validation of autonomous vehicles,https://www.nature.com/articles/s41586-023-05732-2,2023,"Safety, Cost, Robustness and reliability",Extreme Case,System,Observed,Design,Adaptive,Objective,Generation,Researchers,Assurance,AI,TEVV
Verification and Validation of AI Systems Using Explanations,https://ojs.aaai.org/index.php/AAAI-SS/article/view/31774,2024,Robustness and reliability,"Extreme Case, Manual inspection",System,Observed,Design,"Fixed, Interactive","Objective, Rubric",Identification,Researchers,Assurance,AI,TEVV
Assurance Cases to face the complexity of ML-based systems verification,https://hal.science/hal-04588599v1/file/DTIS2024-105-ERTS2024_paper_35-1-Publi%C3%A9e.pdf,2024,Robustness and reliability,"Extreme Case, Manual inspection",System,Observed,"Design, Operation",Interactive,Objective,Generation,Researchers,Assurance,AI,TEVV
Autonomous Driving Validation and Verification Using Digital Twins,https://www.scitepress.org/Papers/2024/125464/125464.pdf,2024,"Safety, Robustness and reliability",Extreme Case,System,Observed,Design,Interactive,Objective,Generation,Researchers,Assurance,AI,TEVV
Empirical evaluation of a hybrid intelligent monitoring system using different measures of effectiveness,https://doi.org/10.1016/S0933-3657(01)00091-4,2024,Performance,Aggregate Case,System,Observed,Operation,Fixed,"Objective, Rubric","Identification, Generation",Researchers,"Comparison, Assurance",Bio,TEVV
N-Version Assessment and Enhancement of Generative AI,https://doi.org/10.1109/MS.2024.3469388,2024,"Performance, Robustness and reliability",Extreme Case,System,Observed,Design,Interactive,Rubric,Generation,Researchers,Assurance,Software Engineering,TEVV
Safe Reinforcement Learning via Probabilistic Logic Shields,https://arxiv.org/pdf/2303.03226,2023,"Performance, Safety",Aggregate Case,System,Observed,Design,Fixed,Objective,Generation,Researchers,Assurance,AI,TEVV
